ITEM,CONTEXT,SENTENCE,TYPE
101,"Marta era professora e estava tendo um dia agitado na escola. Ela tinha uma reunião importante à tarde, mas antes de sair da sala de aula, precisava dar comida para as crianças. Quando liguei para ela,...",Marta estava almoçando os alunos.,item
102,"Ricardo estava tendo um longo dia de apresentações online no trabalho. Uma delas foi marcada para a noite, mas antes ele precisava alimentar os filhos. Quando liguei para ele...",Ricardo estava jantando as crianças.,item
103,"Clara era professora e morava fora do país. Ontem soube que ela estava na cidade para visitar o bebê recém nascido de seu irmão. Quando encontrei com ela na igreja...",Clara estava batizando o sobrinho.,item
104,"Rodrigo adorava uma celebração religiosa. Hoje, ele soube que a filha de seu tio seria apresentada à igreja. Quando todos começaram a procurar por ele, ficaram sabendo que...",Rodrigo estava consagrando a prima.,item
105,"Carlos queria encontrar Raquel no final de semana. No entanto, ele teve uma semana agitada e não pôde ligar para ela para combinar. Quando conseguiu falar com ela no sábado, soube que...",Raquel estava casando um amigo.,item
106,"Clarice era uma pessoa muito disponível para a família e estava presente tanto nos casamentos quando nos divórcios. No mês passado, ela viajou para ajudar a irmã e o cunhado. Quando tive notícias, soube que...",Clarice estava separando a irmã.,item
107,"Marina estava animada para o final de semana. Sua vizinha tinha terminado a faculdade e ia comemorar com uma festa. Quando cheguei para visitá-la no sábado, sua mãe disse que...",Marina estava formando a amiga.,item
108,"Pedro trabalha em uma escola muito conceituada. Todo ano, os funcionários passam por um longo processo de progressão. Ontem, quando encontrei com ele comemorando no bar, soube que...",Pedro estava promovendo um colega.,item
109,"Marco estava passeando no shopping quando encontrou Vicente, um antigo amigo. Eles não se viam há muito tempo. Então Marco se lembrou que da última vez que se encontraram,...",Vicente estava estudando os filhos.,item
110,"O enteado de Rui era muito estudioso e estava prestes a fazer o Enem. Ele tinha resolvido tentar medicina na UFMG. Quando vi toda a família dele comemorando no bar ontem à noite, percebi que...",Rui estava aprovando o enteado.,item

801,"Os filhos de Maria adoravam bolo no café da manhã. Então hoje a avó deles foi visitar e levou um bolo. Mais tarde, eles disseram que...",O bolo foi realizado pela avó.,filler
802,"A casa de Patrícia ficava em frente a um shopping. Ele era recém construído, mas já parecia velho. Quando ela foi perguntar o responsável pela obra do shopping, soube que...",A obra foi construída por uma empreiteira.,filler
803,"Zeca estava passeando de moto quando caiu na estrada. Ele conseguiu ajuda e foi para o hospital. Quando chegou lá...",Os ferimentos foram limpados pela enfermeira.,filler
804,"Vanda estava dormindo quando ouviu gritos na rua. Então ela foi até a porta de casa e viu os vizinhos comentando. Quando perguntou o que houve, soube que...",O policial foi roubado por um assaltante.,filler
805,"Ana adorava sair para correr à noite. Um dia ela saiu para uma corrida e demorou para voltar. No dia seguinte, a vizinha contou que...",Ana tinha sido atropelada por um carro.,filler
806,"Maria trabalhava em uma editora que traduzia várias obras para o português. Um dia receberam um livro ótimo, mas não tinham ninguém para traduzir. Então...",O livro foi traduzido por Maria.,filler
807,"Charles tinha uma van escolar. Um dia a van estragou, mas Charles não tinha dinheiro para levá-la para o mecânico. Depois de um tempo, soube que...",A van tinha sido consertada por seu pai.,filler
808,"Eva tinha apenas cinco anos. Ela estava se divertindo muito numa festinha de aniversário, até que ficou com sono e dormiu na cadeira. Na volta para casa...",Eva foi carregada pelo pai.,filler
809,"Flávia tinha um abajur que era seu xodó. Ela sempre pedia para os filhos tomarem cuidado quando estavam brincando perto. Um dia, ela chegou em casa e soube que...",O abajur tinha sido quebrado pelas crianças.,filler
810,"César era chef de cozinha em um restaurante. Ele estava cansado de fazer os mesmos pratos. Finalmente, os clientes viram que...",Um novo prato foi criado pelo chef.,filler
811,"Patrícia era professora. Hoje ela estava passando mal e resolveu avisar na escola que não poderia dar aula. Quando ela ligou para a secretaria... ",A ligação foi recebida por Lisa.,filler
812,"Marisa e Sérgio namoravam há muito tempo. Um dia, Sérgio fez uma supresa e a pediu em casamento dentro do cinema. Todos viram que...",O pedido foi aceitado por Marisa.,filler
813,"Luiz e Jennifer tinham um carro velho e queriam trocá-lo. Eles juntaram dinheiro por vários anos. Depois de muito tempo...",Um novo carro foi possuído pelo casal.,filler
814,"Carla e Débora queriam ir a um novo restaurante e combinaram de se encontrar no ponto de ônibus. Chegando lá, Débora se lembrou que não havia anotado o endereço do restaurante. Felizmente...",O endereço era sabido por Carla.,filler
815,"José estava passando pelo bairro quando viu uma casa muito bonita à venda. Ele parou para perguntar sobre a casa. Quando abriram a porta, descobriu que... ",A casa foi tida por uma amiga.,filler
816,"Alice estava ansiosa esperando o pedido de casamento do noivo. Até que o carteiro passou e lhe entregou uma carta. Quando Alice abriu, viu que... ",O pedido era contido pela carta.,filler
817,"Moisés queria levar os filhos ao museu, mas não tinha carro. Sua casa era longe e ele precisou pegar dois ônibus. Quando chegou lá, percebeu que...",O esforço foi valido pelo passeio.,filler
818,"Ontem Juca e Carolina foram a uma festa de uma loja. Lá, estavam sorteando vários brindes e um presente especial. De repente, Juca percebeu que...",O presente foi ganhado por Carolina.,filler
819,"Tom era chefe de uma empresa. Após anos de dedicação, ele era muito querido por todos os colegas e funcionários. Todos sabiam que...",A boa reputação foi adquirida por Tom.,filler
820,"Bruno tinha muita dificuldade para dormir. Ele já tinha tentado todo tipo de medicamentos, até que resolveu fazer uma massagem com músicas. No meio da sessão, o massagista viu que... ",Bruno foi adormecido pela canção.,filler
